model,alpha,test_accuracy,test_loss,trainable_parameters,keras_model_size_mb,tflite_model_size_mb,epochs_trained
mobilenet,0.25,0.7128999829292297,1.145035982131958,215642,2.855656623840332,0.26406097412109375,20
mobilenet,0.5,0.7670999765396118,1.0405819416046143,823722,9.835484504699707,0.8802032470703125,20
mobilenet,1.0,0.8230999708175659,0.9001119136810303,3217226,37.26875114440918,3.2347640991210938,20
