epoch,accuracy,loss,val_accuracy,val_loss
0,0.3427555561065674,1.9215037822723389,0.36039999127388,2.0493321418762207
1,0.46959999203681946,1.6561466455459595,0.43380001187324524,1.8128747940063477
2,0.5339555740356445,1.5268380641937256,0.5428000092506409,1.580488920211792
3,0.5894222259521484,1.4171960353851318,0.5144000053405762,1.6390118598937988
4,0.630466639995575,1.3244389295578003,0.6808000206947327,1.2421505451202393
5,0.6672666668891907,1.2475016117095947,0.6877999901771545,1.2228432893753052
6,0.6982889175415039,1.1857811212539673,0.6055999994277954,1.417805790901184
7,0.718488872051239,1.1383557319641113,0.7107999920845032,1.1774883270263672
8,0.7373999953269958,1.0957180261611938,0.7253999710083008,1.1191277503967285
9,0.7522222399711609,1.0619350671768188,0.7657999992370605,1.0304533243179321
10,0.7635777592658997,1.0364691019058228,0.7251999974250793,1.1534775495529175
11,0.7753555774688721,1.0134366750717163,0.7645999789237976,1.055005431175232
12,0.7859333157539368,0.9903317093849182,0.7712000012397766,1.0212289094924927
13,0.7941111326217651,0.9697152972221375,0.798799991607666,0.961417555809021
14,0.8032888770103455,0.9503074884414673,0.7918000221252441,0.9919302463531494
15,0.8074666857719421,0.9368281960487366,0.7946000099182129,0.9819730520248413
16,0.8143333196640015,0.9224144220352173,0.7972000241279602,0.9657297730445862
17,0.8407999873161316,0.8619873523712158,0.8352000117301941,0.8694542050361633
18,0.8515777587890625,0.837195634841919,0.8343999981880188,0.8844928741455078
19,0.8557999730110168,0.8296804428100586,0.8371999859809875,0.8738119006156921
