epoch,accuracy,loss,val_accuracy,val_loss
0,0.24044445157051086,2.088113307952881,0.25859999656677246,2.1487765312194824
1,0.3423333466053009,1.8835192918777466,0.4068000018596649,1.7601029872894287
2,0.39435556530952454,1.7897294759750366,0.44359999895095825,1.6971734762191772
3,0.4427333474159241,1.7027955055236816,0.46480000019073486,1.651767611503601
4,0.480222225189209,1.6305614709854126,0.4722000062465668,1.6794613599777222
5,0.5121999979019165,1.5669950246810913,0.517799973487854,1.6009135246276855
6,0.5435555577278137,1.50588858127594,0.4643999934196472,1.7440589666366577
7,0.5638666749000549,1.4573779106140137,0.4875999987125397,1.6988359689712524
8,0.583733320236206,1.4215717315673828,0.6146000027656555,1.3492531776428223
9,0.6050222516059875,1.381514549255371,0.6111999750137329,1.4023586511611938
10,0.6168666481971741,1.3491711616516113,0.6290000081062317,1.3356213569641113
11,0.6300666928291321,1.3211809396743774,0.6092000007629395,1.4154810905456543
12,0.6431111097335815,1.29902184009552,0.6204000115394592,1.3741512298583984
13,0.6546221971511841,1.2734400033950806,0.6376000046730042,1.3149940967559814
14,0.6639999747276306,1.2516993284225464,0.6474000215530396,1.3103591203689575
15,0.6723999977111816,1.2346421480178833,0.633400022983551,1.342153549194336
16,0.6796666383743286,1.2152878046035767,0.6661999821662903,1.2510740756988525
17,0.6867111325263977,1.1993159055709839,0.6953999996185303,1.18424391746521
18,0.6946889162063599,1.1822831630706787,0.7297999858856201,1.1198220252990723
19,0.7011111378669739,1.170544147491455,0.6600000262260437,1.2808051109313965
