epoch,accuracy,loss,val_accuracy,val_loss
0,0.2957555651664734,2.0025086402893066,0.3862000107765198,1.8279035091400146
1,0.4131999909877777,1.759782075881958,0.43059998750686646,1.8084896802902222
2,0.46480000019073486,1.6638081073760986,0.49559998512268066,1.620565414428711
3,0.5145333409309387,1.5712547302246094,0.5040000081062317,1.5927507877349854
4,0.5548222064971924,1.486271858215332,0.5371999740600586,1.5800237655639648
5,0.5853111147880554,1.414651870727539,0.603600025177002,1.3911033868789673
6,0.6234666705131531,1.3384767770767212,0.5351999998092651,1.603674054145813
7,0.6468666791915894,1.2887173891067505,0.6489999890327454,1.308138370513916
8,0.6679999828338623,1.2464226484298706,0.6916000247001648,1.211053490638733
9,0.6826444268226624,1.2116899490356445,0.6692000031471252,1.2618201971054077
10,0.6962888836860657,1.182471752166748,0.699999988079071,1.19245183467865
11,0.7100666761398315,1.1525046825408936,0.646399974822998,1.3327763080596924
12,0.7176666855812073,1.1360608339309692,0.6812000274658203,1.257717490196228
13,0.7301777601242065,1.108530044555664,0.7085999846458435,1.155374526977539
14,0.7384889125823975,1.0908498764038086,0.7265999913215637,1.155358076095581
15,0.7443777918815613,1.0761635303497314,0.7093999981880188,1.191503643989563
16,0.7500222325325012,1.0604431629180908,0.7229999899864197,1.1253502368927002
17,0.7604666948318481,1.0472469329833984,0.7680000066757202,1.0280812978744507
18,0.7640222311019897,1.0348974466323853,0.7757999897003174,1.0274772644042969
19,0.7656888961791992,1.024162769317627,0.7351999878883362,1.1101901531219482
